Ngày mua,Nhà thuốc,Sản phẩm,Số lượng,Đơn giá (VND),AI_extracted_product
08/05/2025,Nhà thuốc Minh Châu,Vitamin E 400IU ABC,32,259317,Vitamin E
15/08/2025,Nhà thuốc Trung Sơn,Vitamin E 400IU ABC,157,447298,Vitamin E
23/03/2025,Nhà thuốc Gia Hân,Thuốc đau bao tử Yumangel,191,471671,Yumangel
07/05/2025,Nhà thuốc Phúc An,Omega-3 Salmon Oil,164,165391,Omega-3 Salmon Oil
21/05/2025,Nhà thuốc Long Châu,Decolgen cảm cúm,113,60623,Decolgen
21/06/2025,Nhà thuốc Phúc An,Vitamin Tổng hợp Daily One,82,488203,Multivitamin
19/03/2025,Nhà thuốc An Khang,Thuốc ho Bảo Thanh,60,220820,Bao Thanh
02/02/2025,Nhà thuốc Long Châu,Canesten trị nấm da,107,233699,Canesten
01/08/2025,Nhà thuốc Gia Hân,Thuốc trị ho Pectol,16,128440,Pectol
14/07/2025,Nhà thuốc Minh Châu,Viên uống giảm cân Slimfit Plus,123,23091,Slimfit Plus
03/08/2025,Nhà thuốc Tâm Đức,Gaviscon dạ dày,138,411913,Gaviscon
07/09/2025,Nhà thuốc Long Châu,Biozyme men tiêu hóa,57,163096,Biozyme
19/07/2025,Nhà thuốc Minh Châu,Decolgen cảm cúm,87,370682,Decolgen
28/08/2025,Nhà thuốc An Khang,Dung dịch rửa tay ABC,33,346241,Hand Sanitizer
14/01/2025,Nhà thuốc Tâm Đức,Vitamin C 500mg sủi bọt ABC,22,356985,Vitamin C
04/04/2025,Nhà thuốc Gia Hân,Collagen Plus Beauty Drink,13,156396,Collagen
21/08/2025,Nhà thuốc Long Châu,DHA 1000mg bổ não,84,196947,DHA
10/05/2025,Nhà thuốc Tâm Đức,Glucosamine 1500mg,21,266576,Glucosamine
29/06/2025,Nhà thuốc Minh Châu,Listerine súc miệng,58,360862,Listerine
16/01/2025,Nhà thuốc Minh Châu,Blackmores Pregnancy,64,124522,Blackmores Pregnancy
03/05/2025,Nhà thuốc An Khang,Collagen ADIVA,33,268282,Collagen
27/08/2025,Nhà thuốc Long Châu,Canxi Corbiere,180,154345,Canxi Corbiere
25/03/2025,Nhà thuốc Hoa Sen,Kẽm Gluconate 50mg,80,76674,Zinc Gluconate
23/07/2025,Nhà thuốc Tâm Đức,Gaviscon dạ dày,184,123981,Gaviscon
22/02/2025,Nhà thuốc Long Châu,Bright Eyes bổ mắt,179,425002,Bright Eyes
22/01/2025,Nhà thuốc Hoa Sen,Berocca viên sủi,89,299311,Berocca
05/02/2025,Nhà thuốc Trung Sơn,Smecta trị tiêu chảy,130,359499,Smecta
08/09/2025,Nhà thuốc Tâm Đức,Paracetamol 500mg ABC Pharma,28,247291,Paracetamol
20/03/2025,Nhà thuốc Gia Hân,Magie B6,112,112346,Magnesium B6
05/09/2025,Nhà thuốc Phúc An,Enterogermina men vi sinh,120,248366,Enterogermina
14/02/2025,Nhà thuốc Long Châu,DHA 1000mg bổ não,72,482228,DHA
14/07/2025,Nhà thuốc Gia Hân,Vitamin Tổng hợp Daily One,87,35047,Multivitamin
07/09/2025,Nhà thuốc An Khang,DHA 1000mg bổ não,55,206030,DHA
22/05/2025,Nhà thuốc Phúc An,Probiotics ABC,143,25322,Probiotics
04/05/2025,Nhà thuốc Hoa Sen,Viên ngậm ho Eugica,185,233085,Eugica
01/09/2025,Nhà thuốc Long Châu,Ginkgo Biloba,166,393210,Ginkgo Biloba
17/02/2025,Nhà thuốc Minh Châu,Omega-3 Salmon Oil,76,136180,Omega-3 Salmon Oil
06/06/2025,Nhà thuốc Long Châu,Strepsils đau họng,170,324902,Strepsils
06/08/2025,Nhà thuốc Trung Sơn,Sắt + Acid Folic Prenatal,191,308562,Iron + Folic Acid
19/05/2025,Nhà thuốc Gia Hân,Sữa ong chúa Royal Jelly 1000mg,79,151807,Royal Jelly
11/06/2025,Nhà thuốc Long Châu,Omega-3 Fish Oil 1000mg,31,409483,Omega-3 Fish Oil
09/04/2025,Nhà thuốc An Khang,Imunoglukan tăng đề kháng,56,407241,Imunoglukan
21/02/2025,Nhà thuốc Phúc An,Glucosamine 1500mg,50,175318,Glucosamine
04/06/2025,Nhà thuốc An Khang,Viên uống trắng da Glutathione,4,391205,Glutathione
24/01/2025,Nhà thuốc Phúc An,Collagen Plus Beauty Drink,14,310119,Collagen
09/09/2025,Nhà thuốc An Khang,Strepsils đau họng,27,477556,Strepsils
29/08/2025,Nhà thuốc Phúc An,Canxi Corbiere,123,250932,Canxi Corbiere
10/05/2025,Nhà thuốc Minh Châu,Thuốc nhỏ mắt Osla,123,79814,Osla
07/02/2025,Nhà thuốc Gia Hân,Thuốc xịt mũi Sterimar,148,350010,Sterimar
05/06/2025,Nhà thuốc An Khang,Canxi Nano D3 K2 MK7,22,150123,Calcium Nano D3 K2 MK7
26/04/2025,Nhà thuốc Tâm Đức,Ginkgo Biloba,199,293978,Ginkgo Biloba
02/06/2025,Nhà thuốc Gia Hân,Omega-3 Salmon Oil,151,244830,Omega-3 Salmon Oil
20/02/2025,Nhà thuốc Minh Châu,Canxi Corbiere,196,128940,Canxi Corbiere
22/03/2025,Nhà thuốc Hoa Sen,Siro Multivitamin ABC,62,111128,Multivitamin
02/01/2025,Nhà thuốc An Khang,Siro ho Prospan Đức,105,256193,Prospan
29/04/2025,Nhà thuốc Minh Châu,Thuốc bổ gan Boganic,74,390648,Boganic
06/02/2025,Nhà thuốc Gia Hân,Strepsils đau họng,176,142381,Strepsils
06/08/2025,Nhà thuốc Long Châu,Magie B6,30,305507,Magnesium B6
17/05/2025,Nhà thuốc An Khang,Enterogermina men vi sinh,37,57439,Enterogermina
28/05/2025,Nhà thuốc Phúc An,Kẽm Gluconate 50mg,113,85197,Zinc Gluconate
26/07/2025,Nhà thuốc Phúc An,Strepsils đau họng,70,282391,Strepsils
11/02/2025,Nhà thuốc Gia Hân,Decolgen cảm cúm,154,40898,Decolgen
09/05/2025,Nhà thuốc Trung Sơn,Listerine súc miệng,7,67881,Listerine
18/05/2025,Nhà thuốc Minh Châu,Berocca viên sủi,148,41092,Berocca
23/05/2025,Nhà thuốc Gia Hân,Sắt + Acid Folic Prenatal,47,326881,Iron + Folic Acid
16/02/2025,Nhà thuốc Gia Hân,Magie B6,121,202431,Magnesium B6
23/02/2025,Nhà thuốc Trung Sơn,Probiotics ABC,42,192912,Probiotics
28/05/2025,Nhà thuốc Gia Hân,Strepsils đau họng,170,229952,Strepsils
15/02/2025,Nhà thuốc Gia Hân,Vitamin D3 1000IU Softgel,81,152329,Vitamin D3
21/09/2025,Nhà thuốc Tâm Đức,Omega-3 Fish Oil 1000mg,1,364803,Omega-3 Fish Oil
28/01/2025,Nhà thuốc Tâm Đức,Vitamin E 400IU ABC,49,291811,Vitamin E
15/08/2025,Nhà thuốc Gia Hân,Collagen ADIVA,195,47059,Collagen
28/05/2025,Nhà thuốc An Khang,Glucosamine 1500mg,113,481817,Glucosamine
03/05/2025,Nhà thuốc Minh Châu,Omega-3 Fish Oil 1000mg,182,103035,Omega-3 Fish Oil
28/07/2025,Nhà thuốc Minh Châu,Ginkgo Biloba,24,137807,Ginkgo Biloba
20/03/2025,Nhà thuốc Hoa Sen,Vitamin E 400IU ABC,128,395706,Vitamin E
01/08/2025,Nhà thuốc Phúc An,Methorphan trị ho,124,267579,Methorphan
16/07/2025,Nhà thuốc An Khang,Vitamin E 400IU ABC,49,334246,Vitamin E
05/02/2025,Nhà thuốc An Khang,Listerine súc miệng,71,425104,Listerine
02/01/2025,Nhà thuốc Phúc An,Probiotics ABC,73,400659,Probiotics
18/03/2025,Nhà thuốc Gia Hân,Bright Eyes bổ mắt,115,302371,Bright Eyes
13/07/2025,Nhà thuốc Trung Sơn,Sữa ong chúa Royal Jelly 1000mg,117,188704,Royal Jelly
16/07/2025,Nhà thuốc Long Châu,Strepsils đau họng,60,468797,Strepsils
31/08/2025,Nhà thuốc Trung Sơn,Vitamin D3 1000IU Softgel,181,498900,Vitamin D3
11/09/2025,Nhà thuốc An Khang,Viên uống giảm cân Slimfit Plus,10,86189,Slimfit Plus
21/02/2025,Nhà thuốc Trung Sơn,Bright Eyes bổ mắt,113,72277,Bright Eyes
15/03/2025,Nhà thuốc Minh Châu,Vitamin E 400IU ABC,105,476619,Vitamin E
16/05/2025,Nhà thuốc Gia Hân,Siro ho Prospan Đức,87,346767,Prospan
18/06/2025,Nhà thuốc Hoa Sen,Enterogermina men vi sinh,173,470542,Enterogermina
07/09/2025,Nhà thuốc Trung Sơn,Viên uống giảm cân Slimfit Plus,139,38821,Slimfit Plus
27/04/2025,Nhà thuốc Phúc An,Vitamin Tổng hợp Daily One,192,67384,Multivitamin
16/08/2025,Nhà thuốc Hoa Sen,Thuốc cảm Coldacmin Forte,43,383856,Coldacmin Forte
16/06/2025,Nhà thuốc Minh Châu,Vitamin C 500mg sủi bọt ABC,15,173809,Vitamin C
16/03/2025,Nhà thuốc Tâm Đức,Viên uống trắng da Glutathione,63,298484,Glutathione
29/03/2025,Nhà thuốc An Khang,Canxi Corbiere,45,61402,Canxi Corbiere
12/09/2025,Nhà thuốc Long Châu,Collagen ADIVA,150,95034,Collagen
24/08/2025,Nhà thuốc Phúc An,Vitamin E 400IU ABC,66,369616,Vitamin E
22/03/2025,Nhà thuốc Phúc An,Vitamin E 400IU ABC,19,251593,Vitamin E
06/08/2025,Nhà thuốc Phúc An,Bright Eyes bổ mắt,177,151123,Bright Eyes
16/07/2025,Nhà thuốc Long Châu,Gaviscon dạ dày,124,75917,Gaviscon
01/06/2025,Nhà thuốc Trung Sơn,Viên uống giảm cân Slimfit Plus,180,174785,Slimfit Plus
21/05/2025,Nhà thuốc Tâm Đức,Smecta trị tiêu chảy,3,316709,Smecta
27/05/2025,Nhà thuốc Gia Hân,Biozyme men tiêu hóa,199,438832,Biozyme
23/04/2025,Nhà thuốc Trung Sơn,Biozyme men tiêu hóa,163,119683,Biozyme
19/02/2025,Nhà thuốc An Khang,Berocca viên sủi,161,358868,Berocca
18/01/2025,Nhà thuốc Gia Hân,Gaviscon dạ dày,149,211292,Gaviscon
17/06/2025,Nhà thuốc Phúc An,Thuốc ho Bảo Thanh,192,237843,Bao Thanh
07/07/2025,Nhà thuốc An Khang,Viên ngậm ho Eugica,136,283084,Eugica
04/09/2025,Nhà thuốc Phúc An,Kẽm Gluconate 50mg,76,411412,Zinc Gluconate
08/02/2025,Nhà thuốc Gia Hân,Omega-3 Fish Oil 1000mg,37,415392,Omega-3 Fish Oil
07/07/2025,Nhà thuốc Tâm Đức,Berocca viên sủi,24,434545,Berocca
05/03/2025,Nhà thuốc Phúc An,Paracetamol 500mg ABC Pharma,117,213245,Paracetamol
10/07/2025,Nhà thuốc Tâm Đức,Bright Eyes bổ mắt,28,373808,Bright Eyes
17/06/2025,Nhà thuốc Minh Châu,Sắt + Acid Folic Prenatal,157,136060,Iron + Folic Acid
04/06/2025,Nhà thuốc Gia Hân,Magie B6,167,234064,Magnesium B6
20/01/2025,Nhà thuốc Minh Châu,Collagen Plus Beauty Drink,78,278277,Collagen
11/03/2025,Nhà thuốc Long Châu,Thuốc cảm Coldacmin Forte,100,257839,Coldacmin Forte
21/03/2025,Nhà thuốc Tâm Đức,Smecta trị tiêu chảy,107,363367,Smecta
24/05/2025,Nhà thuốc Tâm Đức,Decolgen cảm cúm,9,381905,Decolgen
16/08/2025,Nhà thuốc Gia Hân,Thuốc nhỏ mũi Otrivin,61,468502,Otrivin
03/07/2025,Nhà thuốc Trung Sơn,Thuốc cảm Coldacmin Forte,16,228739,Coldacmin Forte
21/08/2025,Nhà thuốc Hoa Sen,Viên ngậm ho Eugica,24,367481,Eugica
26/01/2025,Nhà thuốc Minh Châu,Enterogermina men vi sinh,86,147700,Enterogermina
05/02/2025,Nhà thuốc Long Châu,Canxi Corbiere,196,310564,Canxi Corbiere
30/04/2025,Nhà thuốc Long Châu,Bright Eyes bổ mắt,85,425992,Bright Eyes
22/05/2025,Nhà thuốc Minh Châu,Biozyme men tiêu hóa,38,88153,Biozyme
26/02/2025,Nhà thuốc An Khang,Siro Multivitamin ABC,170,474268,Multivitamin
03/07/2025,Nhà thuốc Minh Châu,Collagen Plus Beauty Drink,61,328728,Collagen
16/05/2025,Nhà thuốc An Khang,Vitamin C 500mg sủi bọt ABC,14,86457,Vitamin C
02/02/2025,Nhà thuốc Hoa Sen,Siro ho Ích Nhi,122,255025,Ích Nhi
20/08/2025,Nhà thuốc Hoa Sen,Methorphan trị ho,129,136155,Methorphan
23/08/2025,Nhà thuốc Phúc An,Dung dịch rửa tay ABC,165,36331,Hand Sanitizer
07/08/2025,Nhà thuốc Tâm Đức,Sắt + Acid Folic Prenatal,176,76603,Iron + Folic Acid
07/02/2025,Nhà thuốc Gia Hân,Canesten trị nấm da,21,188879,Canesten
21/05/2025,Nhà thuốc An Khang,Siro ho Prospan Đức,160,351914,Prospan
15/07/2025,Nhà thuốc Trung Sơn,Canesten trị nấm da,153,298164,Canesten
20/02/2025,Nhà thuốc Tâm Đức,Vitamin E 400IU ABC,180,79985,Vitamin E
09/08/2025,Nhà thuốc Long Châu,Dung dịch rửa tay ABC,116,485615,Hand Sanitizer
21/08/2025,Nhà thuốc Trung Sơn,Loratadin 10mg,103,238098,Loratadine
10/06/2025,Nhà thuốc Tâm Đức,DHA 1000mg bổ não,171,153635,DHA
04/02/2025,Nhà thuốc Gia Hân,Canxi Nano D3 K2 MK7,24,456088,Calcium Nano D3 K2 MK7
19/02/2025,Nhà thuốc Tâm Đức,Thuốc ho Bảo Thanh,191,407341,Bao Thanh
18/06/2025,Nhà thuốc Minh Châu,Collagen Plus Beauty Drink,172,84084,Collagen
27/01/2025,Nhà thuốc Tâm Đức,Sữa ong chúa Royal Jelly 1000mg,74,334787,Royal Jelly
17/09/2025,Nhà thuốc Hoa Sen,Sữa ong chúa Royal Jelly 1000mg,55,101123,Royal Jelly
29/06/2025,Nhà thuốc Hoa Sen,Dung dịch vệ sinh mũi Physiodose,143,212707,Physiodose
26/04/2025,Nhà thuốc Phúc An,Imunoglukan tăng đề kháng,110,463104,Imunoglukan
17/05/2025,Nhà thuốc Minh Châu,Blackmores Pregnancy,8,114589,Blackmores Pregnancy
23/06/2025,Nhà thuốc Phúc An,Strepsils đau họng,90,23201,Strepsils
05/02/2025,Nhà thuốc Tâm Đức,Canxi Nano D3 K2 MK7,37,408481,Calcium Nano D3 K2 MK7
12/07/2025,Nhà thuốc Long Châu,Thuốc ho Bảo Thanh,108,257841,Bao Thanh
09/06/2025,Nhà thuốc Trung Sơn,Kẽm Gluconate 50mg,185,190070,Zinc Gluconate
22/03/2025,Nhà thuốc An Khang,Ibuprofen 400mg ABC Care,194,343925,Ibuprofen
20/05/2025,Nhà thuốc Hoa Sen,Berocca viên sủi,114,367046,Berocca
01/08/2025,Nhà thuốc Gia Hân,Decolgen cảm cúm,70,133020,Decolgen
09/08/2025,Nhà thuốc Trung Sơn,Omega-3 Fish Oil 1000mg,29,168502,Omega-3 Fish Oil
24/01/2025,Nhà thuốc Phúc An,Siro ho Ích Nhi,57,227231,Ích Nhi
04/06/2025,Nhà thuốc Long Châu,Paracetamol 500mg ABC Pharma,55,422312,Paracetamol
29/05/2025,Nhà thuốc Phúc An,Imunoglukan tăng đề kháng,84,82906,Imunoglukan
31/03/2025,Nhà thuốc Tâm Đức,Decolgen cảm cúm,34,219338,Decolgen
14/09/2025,Nhà thuốc Long Châu,Canesten trị nấm da,144,456917,Canesten
22/01/2025,Nhà thuốc Tâm Đức,Siro ho Prospan Đức,112,29825,Prospan
08/08/2025,Nhà thuốc Trung Sơn,Siro ho Prospan Đức,147,232034,Prospan
27/07/2025,Nhà thuốc Hoa Sen,Thuốc bổ gan Boganic,6,190272,Boganic
05/07/2025,Nhà thuốc Gia Hân,Collagen ADIVA,23,248962,Collagen
25/07/2025,Nhà thuốc Tâm Đức,Vitamin Tổng hợp Daily One,135,61233,Multivitamin
24/04/2025,Nhà thuốc Trung Sơn,Gaviscon dạ dày,86,428482,Gaviscon
29/09/2025,Nhà thuốc Hoa Sen,Siro ho Prospan Đức,131,121661,Prospan
01/05/2025,Nhà thuốc An Khang,Sữa ong chúa Royal Jelly 1000mg,27,96778,Royal Jelly
20/03/2025,Nhà thuốc An Khang,Viên ngậm ho Eugica,195,418014,Eugica
26/08/2025,Nhà thuốc Gia Hân,Thuốc nhỏ mắt Osla,194,315559,Osla
11/06/2025,Nhà thuốc Trung Sơn,Berocca viên sủi,39,250562,Berocca
05/06/2025,Nhà thuốc Gia Hân,Sắt + Acid Folic Prenatal,71,330074,Iron + Folic Acid
08/06/2025,Nhà thuốc Hoa Sen,Sữa ong chúa Royal Jelly 1000mg,119,256933,Royal Jelly
27/05/2025,Nhà thuốc Trung Sơn,Ibuprofen 400mg ABC Care,20,357990,Ibuprofen
25/08/2025,Nhà thuốc Tâm Đức,Collagen ADIVA,149,310621,Collagen
14/06/2025,Nhà thuốc Long Châu,Omega-3 Salmon Oil,155,269366,Omega-3 Salmon Oil
19/08/2025,Nhà thuốc Minh Châu,Canxi Nano D3 K2 MK7,27,445180,Calcium Nano D3 K2 MK7
16/09/2025,Nhà thuốc Hoa Sen,Canesten trị nấm da,166,110470,Canesten
13/08/2025,Nhà thuốc Gia Hân,Vitamin Tổng hợp Daily One,135,294070,Multivitamin
25/05/2025,Nhà thuốc Trung Sơn,Viên uống trắng da Glutathione,100,234312,Glutathione
21/06/2025,Nhà thuốc Minh Châu,Berocca viên sủi,17,192852,Berocca
26/05/2025,Nhà thuốc Tâm Đức,Ginkgo Biloba,65,399444,Ginkgo Biloba
14/03/2025,Nhà thuốc Hoa Sen,Probiotics ABC,90,182650,Probiotics
08/06/2025,Nhà thuốc Hoa Sen,Collagen Plus Beauty Drink,144,217488,Collagen
05/08/2025,Nhà thuốc Hoa Sen,Collagen Plus Beauty Drink,131,209702,Collagen
03/04/2025,Nhà thuốc Phúc An,Viên uống trắng da Glutathione,55,199166,Glutathione
12/03/2025,Nhà thuốc Long Châu,Viên ngậm ho Eugica,40,60456,Eugica
22/06/2025,Nhà thuốc Minh Châu,Thuốc cảm Coldacmin Forte,197,344026,Coldacmin Forte
20/03/2025,Nhà thuốc Tâm Đức,Biozyme men tiêu hóa,42,114815,Biozyme
23/01/2025,Nhà thuốc Gia Hân,Dung dịch rửa tay ABC,106,210997,Hand Sanitizer
18/08/2025,Nhà thuốc Phúc An,Omega-3 Salmon Oil,60,299975,Omega-3 Salmon Oil
10/04/2025,Nhà thuốc Gia Hân,Gaviscon dạ dày,95,375628,Gaviscon
15/07/2025,Nhà thuốc Phúc An,Vitamin E 400IU ABC,129,296540,Vitamin E
12/03/2025,Nhà thuốc Long Châu,Kẽm Gluconate 50mg,65,47357,Zinc Gluconate
