Ngày mua,Nhà thuốc,Sản phẩm,Số lượng,Đơn giá (VND)
21/06/2025,Nhà thuốc Phúc An,Vitamin Tổng hợp Daily One,82,488203
19/03/2025,Nhà thuốc An Khang,Thuốc ho Bảo Thanh,60,220820
02/02/2025,Nhà thuốc Long Châu,Canesten trị nấm da,107,233699
01/08/2025,Nhà thuốc Gia Hân,Thuốc trị ho Pectol,16,128440
14/07/2025,Nhà thuốc Minh Châu,Viên uống giảm cân Slimfit Plus,123,23091
03/08/2025,Nhà thuốc Tâm Đức,Gaviscon dạ dày,138,411913
07/09/2025,Nhà thuốc Long Châu,Biozyme men tiêu hóa,57,163096
19/07/2025,Nhà thuốc Minh Châu,Decolgen cảm cúm,87,370682
28/08/2025,Nhà thuốc An Khang,Dung dịch rửa tay ABC,33,346241
14/01/2025,Nhà thuốc Tâm Đức,Vitamin C 500mg sủi bọt ABC,22,356985
04/04/2025,Nhà thuốc Gia Hân,Collagen Plus Beauty Drink,13,156396
21/08/2025,Nhà thuốc Long Châu,DHA 1000mg bổ não,84,196947
10/05/2025,Nhà thuốc Tâm Đức,Glucosamine 1500mg,21,266576
29/06/2025,Nhà thuốc Minh Châu,Listerine súc miệng,58,360862
16/01/2025,Nhà thuốc Minh Châu,Blackmores Pregnancy,64,124522
03/05/2025,Nhà thuốc An Khang,Collagen ADIVA,33,268282
27/08/2025,Nhà thuốc Long Châu,Canxi Corbiere,180,154345
25/03/2025,Nhà thuốc Hoa Sen,Kẽm Gluconate 50mg,80,76674
23/07/2025,Nhà thuốc Tâm Đức,Gaviscon dạ dày,184,123981
22/02/2025,Nhà thuốc Long Châu,Bright Eyes bổ mắt,179,425002
22/01/2025,Nhà thuốc Hoa Sen,Berocca viên sủi,89,299311
05/02/2025,Nhà thuốc Trung Sơn,Smecta trị tiêu chảy,130,359499
08/09/2025,Nhà thuốc Tâm Đức,Paracetamol 500mg ABC Pharma,28,247291
20/03/2025,Nhà thuốc Gia Hân,Magie B6,112,112346
05/09/2025,Nhà thuốc Phúc An,Enterogermina men vi sinh,120,248366
14/02/2025,Nhà thuốc Long Châu,DHA 1000mg bổ não,72,482228
14/07/2025,Nhà thuốc Gia Hân,Vitamin Tổng hợp Daily One,87,35047
07/09/2025,Nhà thuốc An Khang,DHA 1000mg bổ não,55,206030
22/05/2025,Nhà thuốc Phúc An,Probiotics ABC,143,25322
04/05/2025,Nhà thuốc Hoa Sen,Viên ngậm ho Eugica,185,233085
01/09/2025,Nhà thuốc Long Châu,Ginkgo Biloba,166,393210
17/02/2025,Nhà thuốc Minh Châu,Omega-3 Salmon Oil,76,136180
06/06/2025,Nhà thuốc Long Châu,Strepsils đau họng,170,324902
06/08/2025,Nhà thuốc Trung Sơn,Sắt + Acid Folic Prenatal,191,308562
19/05/2025,Nhà thuốc Gia Hân,Sữa ong chúa Royal Jelly 1000mg,79,151807
11/06/2025,Nhà thuốc Long Châu,Omega-3 Fish Oil 1000mg,31,409483
09/04/2025,Nhà thuốc An Khang,Imunoglukan tăng đề kháng,56,407241
21/02/2025,Nhà thuốc Phúc An,Glucosamine 1500mg,50,175318
04/06/2025,Nhà thuốc An Khang,Viên uống trắng da Glutathione,4,391205
24/01/2025,Nhà thuốc Phúc An,Collagen Plus Beauty Drink,14,310119
09/09/2025,Nhà thuốc An Khang,Strepsils đau họng,27,477556
29/08/2025,Nhà thuốc Phúc An,Canxi Corbiere,123,250932
10/05/2025,Nhà thuốc Minh Châu,Thuốc nhỏ mắt Osla,123,79814
07/02/2025,Nhà thuốc Gia Hân,Thuốc xịt mũi Sterimar,148,350010
05/06/2025,Nhà thuốc An Khang,Canxi Nano D3 K2 MK7,22,150123
26/04/2025,Nhà thuốc Tâm Đức,Ginkgo Biloba,199,293978
02/06/2025,Nhà thuốc Gia Hân,Omega-3 Salmon Oil,151,244830
20/02/2025,Nhà thuốc Minh Châu,Canxi Corbiere,196,128940
22/03/2025,Nhà thuốc Hoa Sen,Siro Multivitamin ABC,62,111128
02/01/2025,Nhà thuốc An Khang,Siro ho Prospan Đức,105,256193
29/04/2025,Nhà thuốc Minh Châu,Thuốc bổ gan Boganic,74,390648
06/02/2025,Nhà thuốc Gia Hân,Strepsils đau họng,176,142381
06/08/2025,Nhà thuốc Long Châu,Magie B6,30,305507
17/05/2025,Nhà thuốc An Khang,Enterogermina men vi sinh,37,57439
28/05/2025,Nhà thuốc Phúc An,Kẽm Gluconate 50mg,113,85197
26/07/2025,Nhà thuốc Phúc An,Strepsils đau họng,70,282391
11/02/2025,Nhà thuốc Gia Hân,Decolgen cảm cúm,154,40898
09/05/2025,Nhà thuốc Trung Sơn,Listerine súc miệng,7,67881
18/05/2025,Nhà thuốc Minh Châu,Berocca viên sủi,148,41092
23/05/2025,Nhà thuốc Gia Hân,Sắt + Acid Folic Prenatal,47,326881
16/02/2025,Nhà thuốc Gia Hân,Magie B6,121,202431
23/02/2025,Nhà thuốc Trung Sơn,Probiotics ABC,42,192912
28/05/2025,Nhà thuốc Gia Hân,Strepsils đau họng,170,229952
15/02/2025,Nhà thuốc Gia Hân,Vitamin D3 1000IU Softgel,81,152329
21/09/2025,Nhà thuốc Tâm Đức,Omega-3 Fish Oil 1000mg,1,364803
28/01/2025,Nhà thuốc Tâm Đức,Vitamin E 400IU ABC,49,291811
15/08/2025,Nhà thuốc Gia Hân,Collagen ADIVA,195,47059
28/05/2025,Nhà thuốc An Khang,Glucosamine 1500mg,113,481817
03/05/2025,Nhà thuốc Minh Châu,Omega-3 Fish Oil 1000mg,182,103035
28/07/2025,Nhà thuốc Minh Châu,Ginkgo Biloba,24,137807
20/03/2025,Nhà thuốc Hoa Sen,Vitamin E 400IU ABC,128,395706
01/08/2025,Nhà thuốc Phúc An,Methorphan trị ho,124,267579
16/07/2025,Nhà thuốc An Khang,Vitamin E 400IU ABC,49,334246
05/02/2025,Nhà thuốc An Khang,Listerine súc miệng,71,425104
02/01/2025,Nhà thuốc Phúc An,Probiotics ABC,73,400659
18/03/2025,Nhà thuốc Gia Hân,Bright Eyes bổ mắt,115,302371
13/07/2025,Nhà thuốc Trung Sơn,Sữa ong chúa Royal Jelly 1000mg,117,188704
16/07/2025,Nhà thuốc Long Châu,Strepsils đau họng,60,468797
31/08/2025,Nhà thuốc Trung Sơn,Vitamin D3 1000IU Softgel,181,498900
11/09/2025,Nhà thuốc An Khang,Viên uống giảm cân Slimfit Plus,10,86189
21/02/2025,Nhà thuốc Trung Sơn,Bright Eyes bổ mắt,113,72277
15/03/2025,Nhà thuốc Minh Châu,Vitamin E 400IU ABC,105,476619
16/05/2025,Nhà thuốc Gia Hân,Siro ho Prospan Đức,87,346767
18/06/2025,Nhà thuốc Hoa Sen,Enterogermina men vi sinh,173,470542
07/09/2025,Nhà thuốc Trung Sơn,Viên uống giảm cân Slimfit Plus,139,38821
27/04/2025,Nhà thuốc Phúc An,Vitamin Tổng hợp Daily One,192,67384
16/08/2025,Nhà thuốc Hoa Sen,Thuốc cảm Coldacmin Forte,43,383856
16/06/2025,Nhà thuốc Minh Châu,Vitamin C 500mg sủi bọt ABC,15,173809
16/03/2025,Nhà thuốc Tâm Đức,Viên uống trắng da Glutathione,63,298484
29/03/2025,Nhà thuốc An Khang,Canxi Corbiere,45,61402
12/09/2025,Nhà thuốc Long Châu,Collagen ADIVA,150,95034
24/08/2025,Nhà thuốc Phúc An,Vitamin E 400IU ABC,66,369616
22/03/2025,Nhà thuốc Phúc An,Vitamin E 400IU ABC,19,251593
06/08/2025,Nhà thuốc Phúc An,Bright Eyes bổ mắt,177,151123
16/07/2025,Nhà thuốc Long Châu,Gaviscon dạ dày,124,75917
01/06/2025,Nhà thuốc Trung Sơn,Viên uống giảm cân Slimfit Plus,180,174785
21/05/2025,Nhà thuốc Tâm Đức,Smecta trị tiêu chảy,3,316709
27/05/2025,Nhà thuốc Gia Hân,Biozyme men tiêu hóa,199,438832
23/04/2025,Nhà thuốc Trung Sơn,Biozyme men tiêu hóa,163,119683
19/02/2025,Nhà thuốc An Khang,Berocca viên sủi,161,358868
18/01/2025,Nhà thuốc Gia Hân,Gaviscon dạ dày,149,211292
17/06/2025,Nhà thuốc Phúc An,Thuốc ho Bảo Thanh,192,237843
07/07/2025,Nhà thuốc An Khang,Viên ngậm ho Eugica,136,283084
04/09/2025,Nhà thuốc Phúc An,Kẽm Gluconate 50mg,76,411412
08/02/2025,Nhà thuốc Gia Hân,Omega-3 Fish Oil 1000mg,37,415392
07/07/2025,Nhà thuốc Tâm Đức,Berocca viên sủi,24,434545
05/03/2025,Nhà thuốc Phúc An,Paracetamol 500mg ABC Pharma,117,213245
10/07/2025,Nhà thuốc Tâm Đức,Bright Eyes bổ mắt,28,373808
17/06/2025,Nhà thuốc Minh Châu,Sắt + Acid Folic Prenatal,157,136060
04/06/2025,Nhà thuốc Gia Hân,Magie B6,167,234064
20/01/2025,Nhà thuốc Minh Châu,Collagen Plus Beauty Drink,78,278277
11/03/2025,Nhà thuốc Long Châu,Thuốc cảm Coldacmin Forte,100,257839
21/03/2025,Nhà thuốc Tâm Đức,Smecta trị tiêu chảy,107,363367
24/05/2025,Nhà thuốc Tâm Đức,Decolgen cảm cúm,9,381905
16/08/2025,Nhà thuốc Gia Hân,Thuốc nhỏ mũi Otrivin,61,468502
03/07/2025,Nhà thuốc Trung Sơn,Thuốc cảm Coldacmin Forte,16,228739
21/08/2025,Nhà thuốc Hoa Sen,Viên ngậm ho Eugica,24,367481
26/01/2025,Nhà thuốc Minh Châu,Enterogermina men vi sinh,86,147700
05/02/2025,Nhà thuốc Long Châu,Canxi Corbiere,196,310564
30/04/2025,Nhà thuốc Long Châu,Bright Eyes bổ mắt,85,425992
22/05/2025,Nhà thuốc Minh Châu,Biozyme men tiêu hóa,38,88153
26/02/2025,Nhà thuốc An Khang,Siro Multivitamin ABC,170,474268
03/07/2025,Nhà thuốc Minh Châu,Collagen Plus Beauty Drink,61,328728
16/05/2025,Nhà thuốc An Khang,Vitamin C 500mg sủi bọt ABC,14,86457
02/02/2025,Nhà thuốc Hoa Sen,Siro ho Ích Nhi,122,255025
20/08/2025,Nhà thuốc Hoa Sen,Methorphan trị ho,129,136155
23/08/2025,Nhà thuốc Phúc An,Dung dịch rửa tay ABC,165,36331
07/08/2025,Nhà thuốc Tâm Đức,Sắt + Acid Folic Prenatal,176,76603
07/02/2025,Nhà thuốc Gia Hân,Canesten trị nấm da,21,188879
21/05/2025,Nhà thuốc An Khang,Siro ho Prospan Đức,160,351914
15/07/2025,Nhà thuốc Trung Sơn,Canesten trị nấm da,153,298164
20/02/2025,Nhà thuốc Tâm Đức,Vitamin E 400IU ABC,180,79985
09/08/2025,Nhà thuốc Long Châu,Dung dịch rửa tay ABC,116,485615
21/08/2025,Nhà thuốc Trung Sơn,Loratadin 10mg,103,238098
10/06/2025,Nhà thuốc Tâm Đức,DHA 1000mg bổ não,171,153635
04/02/2025,Nhà thuốc Gia Hân,Canxi Nano D3 K2 MK7,24,456088
19/02/2025,Nhà thuốc Tâm Đức,Thuốc ho Bảo Thanh,191,407341
18/06/2025,Nhà thuốc Minh Châu,Collagen Plus Beauty Drink,172,84084
27/01/2025,Nhà thuốc Tâm Đức,Sữa ong chúa Royal Jelly 1000mg,74,334787
17/09/2025,Nhà thuốc Hoa Sen,Sữa ong chúa Royal Jelly 1000mg,55,101123
29/06/2025,Nhà thuốc Hoa Sen,Dung dịch vệ sinh mũi Physiodose,143,212707
26/04/2025,Nhà thuốc Phúc An,Imunoglukan tăng đề kháng,110,463104
17/05/2025,Nhà thuốc Minh Châu,Blackmores Pregnancy,8,114589
23/06/2025,Nhà thuốc Phúc An,Strepsils đau họng,90,23201
05/02/2025,Nhà thuốc Tâm Đức,Canxi Nano D3 K2 MK7,37,408481
12/07/2025,Nhà thuốc Long Châu,Thuốc ho Bảo Thanh,108,257841
09/06/2025,Nhà thuốc Trung Sơn,Kẽm Gluconate 50mg,185,190070
22/03/2025,Nhà thuốc An Khang,Ibuprofen 400mg ABC Care,194,343925
20/05/2025,Nhà thuốc Hoa Sen,Berocca viên sủi,114,367046
01/08/2025,Nhà thuốc Gia Hân,Decolgen cảm cúm,70,133020
09/08/2025,Nhà thuốc Trung Sơn,Omega-3 Fish Oil 1000mg,29,168502
24/01/2025,Nhà thuốc Phúc An,Siro ho Ích Nhi,57,227231
04/06/2025,Nhà thuốc Long Châu,Paracetamol 500mg ABC Pharma,55,422312
29/05/2025,Nhà thuốc Phúc An,Imunoglukan tăng đề kháng,84,82906
31/03/2025,Nhà thuốc Tâm Đức,Decolgen cảm cúm,34,219338
14/09/2025,Nhà thuốc Long Châu,Canesten trị nấm da,144,456917
22/01/2025,Nhà thuốc Tâm Đức,Siro ho Prospan Đức,112,29825
08/08/2025,Nhà thuốc Trung Sơn,Siro ho Prospan Đức,147,232034
27/07/2025,Nhà thuốc Hoa Sen,Thuốc bổ gan Boganic,6,190272
05/07/2025,Nhà thuốc Gia Hân,Collagen ADIVA,23,248962
25/07/2025,Nhà thuốc Tâm Đức,Vitamin Tổng hợp Daily One,135,61233
24/04/2025,Nhà thuốc Trung Sơn,Gaviscon dạ dày,86,428482
29/09/2025,Nhà thuốc Hoa Sen,Siro ho Prospan Đức,131,121661
01/05/2025,Nhà thuốc An Khang,Sữa ong chúa Royal Jelly 1000mg,27,96778
20/03/2025,Nhà thuốc An Khang,Viên ngậm ho Eugica,195,418014
26/08/2025,Nhà thuốc Gia Hân,Thuốc nhỏ mắt Osla,194,315559
11/06/2025,Nhà thuốc Trung Sơn,Berocca viên sủi,39,250562
05/06/2025,Nhà thuốc Gia Hân,Sắt + Acid Folic Prenatal,71,330074
08/06/2025,Nhà thuốc Hoa Sen,Sữa ong chúa Royal Jelly 1000mg,119,256933
27/05/2025,Nhà thuốc Trung Sơn,Ibuprofen 400mg ABC Care,20,357990
25/08/2025,Nhà thuốc Tâm Đức,Collagen ADIVA,149,310621
14/06/2025,Nhà thuốc Long Châu,Omega-3 Salmon Oil,155,269366
19/08/2025,Nhà thuốc Minh Châu,Canxi Nano D3 K2 MK7,27,445180
16/09/2025,Nhà thuốc Hoa Sen,Canesten trị nấm da,166,110470
13/08/2025,Nhà thuốc Gia Hân,Vitamin Tổng hợp Daily One,135,294070
25/05/2025,Nhà thuốc Trung Sơn,Viên uống trắng da Glutathione,100,234312
21/06/2025,Nhà thuốc Minh Châu,Berocca viên sủi,17,192852
26/05/2025,Nhà thuốc Tâm Đức,Ginkgo Biloba,65,399444
14/03/2025,Nhà thuốc Hoa Sen,Probiotics ABC,90,182650
08/06/2025,Nhà thuốc Hoa Sen,Collagen Plus Beauty Drink,144,217488
05/08/2025,Nhà thuốc Hoa Sen,Collagen Plus Beauty Drink,131,209702
03/04/2025,Nhà thuốc Phúc An,Viên uống trắng da Glutathione,55,199166
12/03/2025,Nhà thuốc Long Châu,Viên ngậm ho Eugica,40,60456
22/06/2025,Nhà thuốc Minh Châu,Thuốc cảm Coldacmin Forte,197,344026
20/03/2025,Nhà thuốc Tâm Đức,Biozyme men tiêu hóa,42,114815
23/01/2025,Nhà thuốc Gia Hân,Dung dịch rửa tay ABC,106,210997
18/08/2025,Nhà thuốc Phúc An,Omega-3 Salmon Oil,60,299975
10/04/2025,Nhà thuốc Gia Hân,Gaviscon dạ dày,95,375628
15/07/2025,Nhà thuốc Phúc An,Vitamin E 400IU ABC,129,296540
12/03/2025,Nhà thuốc Long Châu,Kẽm Gluconate 50mg,65,47357
22/09/2025,Nhà thuốc Hoa Sen,Viên uống trắng da Glutathione,32,169455
20/05/2025,Nhà thuốc An Khang,Imunoglukan tăng đề kháng,116,494641
16/02/2025,Nhà thuốc Tâm Đức,Canxi Nano D3 K2 MK7,57,448187
01/08/2025,Nhà thuốc Minh Châu,Sữa ong chúa Royal Jelly 1000mg,14,227856
17/07/2025,Nhà thuốc Long Châu,Viên uống trắng da Glutathione,21,216562
20/02/2025,Nhà thuốc Trung Sơn,Vitamin C 500mg sủi bọt ABC,183,360766
20/01/2025,Nhà thuốc An Khang,Canxi Nano D3 K2 MK7,74,455034
29/08/2025,Nhà thuốc An Khang,Strepsils đau họng,115,342619
12/05/2025,Nhà thuốc Minh Châu,Thuốc ho Bảo Thanh,56,457761
26/02/2025,Nhà thuốc Tâm Đức,Ginkgo Biloba,199,171048
25/01/2025,Nhà thuốc Hoa Sen,Gaviscon dạ dày,62,240109
13/09/2025,Nhà thuốc Hoa Sen,Siro ho Prospan Đức,153,301046
15/03/2025,Nhà thuốc Long Châu,Magie B6,75,245044
04/05/2025,Nhà thuốc Trung Sơn,Collagen ADIVA,147,238401
